"","Country.of.Origin","Farm.Name","Lot.Number","Mill","ICO.Number","Company","Altitude","Region","Producer","Number.of.Bags","Bag.Weight","In.Country.Partner","Harvest.Year","Grading.Date","Owner","Variety","Status","Processing.Method","Aroma","Flavor","Aftertaste","Acidity","Body","Balance","Uniformity","Clean.Cup","Sweetness","Overall","Defects","Total.Cup.Points","Moisture","Category.One.Defects","Quakers","Color","Category.Two.Defects","Expiration","Certification.Body","Certification.Address","Certification.Contact","sample_number","unit_of_measurement","altitude_low_meters","altitude_high_meters","altitude_mean_meters"
"30","Honduras","la guama","116","bon cafe s. a.","13-115-42","bon cafe s.a","1450","la paz","NAHUN EDGARDO FLORES GAMEZ.",275,"69 kg","Instituto Hondureño del Café","2019","January 9th, 2020","marco tulio fuentes lobo","Catuai","Completed","Washed / Wet",7.75,7.83,7.5,7.75,7.75,7.67,10,10,10,7.75,0,84,0.1,0,1,"Green",3,"January 8th, 2021","Instituto Hondureño del Café","47f6e97ac9d0c2f153aefea0b25aeadd14c069cf","60bb08f9e0e189fb9d181db9f4fb6f54ac3cb278",366737,"m",1450,1450,1450
"31","Guatemala","not specificated","11/63/712","dry mill of exportcafe","","marubeni corporation","1300-1800","guatemala huehuetenango","Exportcafe, S.A.",275,"69 kg","Japan Coffee Exchange","2020","September 1st, 2020","ikuto uehara","Other","Completed","Washed / Wet",7.92,7.75,7.58,7.75,7.5,7.75,10,10,10,7.67,0,83.92,0.12,0,1,"Green",0,"September 1st, 2021","Japan Coffee Exchange","6581de2d874e7e9a52288f22d67124f70aeb24cc","fbd9ea91e040a94b329c1772906d76f6f2ead381",599249,"m",1300,1800,1550
"32","Colombia","el prado","3-59-02703","neiva","3-59-2703","carcafe ltda","442","huila","FRANKLIN DUSSAN",200,"29 kg","ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE","2020","October 2nd, 2020","rodrigo amaya","Caturra","Completed","Washed / Wet",7.83,7.67,7.58,7.83,7.83,7.67,10,10,10,7.42,0,83.83,0.105,0,1,"Green",1,"October 2nd, 2021","ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE","fc1252132731e31da69d9c8472a6c44a6635ae7a","7f23c923f0d2eb4f0b24ec2d2534bcbf2f060a86",848100,"m",442,442,442
"33","Honduras","not specificated","13/186/048","dry mill of safracafe","13/186/048","marubeni corporation","1200-1500","honduras copan","Aprocafesca",285,"69 kg","Japan Coffee Exchange","2020","October 27th, 2020","ikuto uehara","Other","Completed","Washed / Wet",7.75,7.75,7.75,7.67,7.5,7.67,10,10,10,7.75,0,83.83,0.115,0,1,"Green",2,"October 27th, 2021","Japan Coffee Exchange","6581de2d874e7e9a52288f22d67124f70aeb24cc","fbd9ea91e040a94b329c1772906d76f6f2ead381",747694,"m",1200,1500,1350
"34","Guatemala","las rosas","415000557","","11-63-1257","retrillas del pacifico, s. a.","1500","huehuetenango","ROLANDO BELARMINO VILLATORO VILLATORO",275,"69 kg","Asociacion Nacional Del Café","2020","July 7th, 2020","byron gonzalez","Bourbon","Completed","Natural / Dry",7.5,7.92,7.58,7.58,7.67,7.75,10,10,10,7.83,0,83.83,0.11,0,1,"Green",4,"July 7th, 2021","Asociacion Nacional Del Café","6c171f3a8b7b3f7fa90b37f96b089b6e4823c87d","1000f3eea06dd24fe3e429f77f6cfaf4562d069b",919897,"m",1500,1500,1500
"35","Tanzania, United Republic Of","ruanda amcos","SSTZ-63517/TN951","mbozi coffee curing","033/100/047","kenyacof","1700","songwe","Ruanda Amcos",300,"60 kg","Kenya Coffee Traders Association","2019","January 29th, 2020","daniel magu","Bourbon","Completed","Washed / Wet",8.33,7.67,7.5,7.42,7.58,7.67,10,10,10,7.67,0,83.83,0.13,0,7,"Green",4,"January 28th, 2021","Kenya Coffee Traders Association","bb584688ed4025cf42ebb91619c3df55174f9d7a","ca2b300b00c8570cd2a453fdc041434f6a308a3b",188057,"m",1700,1700,1700
"36","Ethiopia","zenash","0517","tracon trading plc","010/0148/0517","mr.brown cafe","1943","ethiopia guji uraga solomo","TRACON TRADING PLC",267,"60 kg","Blossom Valley International宸嶧國際","2020","August 25th, 2020","mr.brown cafe","Ethiopian Heirlooms","Completed","Washed / Wet",7.83,7.75,7.67,7.58,7.58,7.67,10,10,10,7.75,0,83.83,0.11,0,0,"Green",0,"August 25th, 2021","Blossom Valley International宸嶧國際","21b97b50530f1719226acd11109f780f648798c5","4de1973464d8935971421d25e7d6a9f231af9c86",562525,"m",1943,1943,1943
"37","Costa Rica","beneficio montañas del diamante","10373-01","beneficio montañas del diamante","5-0025-0147","ceca,s.a.","1848","tarrazu","Martín Gutierrez",200,"69 kg","Specialty Coffee Association of Costa Rica","2020","April 17th, 2020","ceca, s.a.","Caturra","Completed","Washed / Wet",7.75,7.67,7.67,7.42,7.83,7.67,10,10,10,7.83,0,83.83,0.1,0,2,"Green",5,"April 17th, 2021","Specialty Coffee Association of Costa Rica","b9aae988aae1d9ea780edbcea541e142e93899a0","5a303a9ee700ce952d9fd93d46a1915bb545a456",468749,"m",1848,1848,1848
"38","Colombia","federación nacional de cafeteros de colombia","3/01/11613","federación nacional de cafeteros de colombia","3/01/11613","japan","1700","huila","Federación Nacional de Cafeteros de Colombia",275,"70 kg","Japan Coffee Exchange","2019","October 27th, 2020","yukinobu ueda","Caturra","Completed","Washed / Wet",7.67,7.58,7.67,7.75,7.75,7.75,10,10,10,7.58,0,83.75,0.12,0,1,"Bluish-Green",0,"October 27th, 2021","Japan Coffee Exchange","6581de2d874e7e9a52288f22d67124f70aeb24cc","fbd9ea91e040a94b329c1772906d76f6f2ead381",652231,"m",1700,1700,1700
"39","Guatemala","la burbuja","415000445","","11-63-848","retrillas del pacifico, s. a.","1500","huehuetenango","MARISSA JUDITH HERRERA VILLATORO",200,"69 kg","Asociacion Nacional Del Café","2020","July 6th, 2020","byron gonzalez","Bourbon","Completed","Natural / Dry",7.58,7.92,7.5,7.58,7.67,7.67,10,10,10,7.83,0,83.75,0.11,0,1,"Green",7,"July 6th, 2021","Asociacion Nacional Del Café","6c171f3a8b7b3f7fa90b37f96b089b6e4823c87d","1000f3eea06dd24fe3e429f77f6cfaf4562d069b",418612,"m",1500,1500,1500
"40","Guatemala","alta luz","415000544","","11-63-1073","retrillas del pacifico, s. a.","1400","huehuetenango","MARIA DE LOS ANGELES PEREZ",100,"69 kg","Asociacion Nacional Del Café","2020","July 7th, 2020","byron gonzalez","Bourbon","Completed","Natural / Dry",7.58,7.92,7.58,7.58,7.67,7.58,10,10,10,7.75,0,83.67,0.11,0,1,"Green",6,"July 7th, 2021","Asociacion Nacional Del Café","6c171f3a8b7b3f7fa90b37f96b089b6e4823c87d","1000f3eea06dd24fe3e429f77f6cfaf4562d069b",531749,"m",1400,1400,1400
"41","Taiwan","向陽台灣咖啡","20200215","向陽台灣咖啡","","tcl 台灣咖啡研究室","1000","國姓-九份二山","林言謙 LIN YEN CHIEN",1,"50 kg","NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)","2019","September 3rd, 2020","lin, che-hao krude 林哲豪","Gesha","Completed","Natural / Dry",7.92,7.58,7.5,7.25,7.92,7.92,10,10,10,7.58,0,83.67,0.11,0,0,"Green",0,"September 3rd, 2021","NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)","4ef366106e3e0154910b04e7f00eabb68b1e1842","313a15ddc00be422961ea35b77a07e6755f8b591",826052,"m",1000,1000,1000
"42","Brazil","santa bárbara","VJP-Q-2020-001","copag varginha","002/164-3/0120","ed&f man volcafe brasil ltda.","1020","monte carmelo's town - cerrado mineiro region","Múcio Cardoso",440,"59 kg","Brazil Specialty Coffee Association","2020 / 2021","October 27th, 2020","ed&f man volcafe brasil ltda.","Mundo Novo","Completed","Natural / Dry",7.58,7.75,7.58,7.83,7.58,7.67,10,10,10,7.58,0,83.58,0.11,0,0,"Green",3,"October 27th, 2021","Brazil Specialty Coffee Association","63f5d7a99575e7337c2f97b797df672d7f3d99da","fc61b28559223ff2dc4c0b8d7b960d651d9c8e26",363072,"m",1020,1020,1020
